mising data? see here!,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Open Field/Arean Habitation ,,,,,,,,,,,,,,,
Tag Number,Genotype,Sex,Birthdate,Test Date,Time In,Treatment type,Bucket type (old/new),Notes,Notes cont.,File Location on Drive ,,,,,
,,,,,,,,,,,,,,,
Novel Object | Recognition Session,,,,,,,,,,,,,,,
Tag Number,Genotype,Sex,Birthdate,Test Date,Time In,Treatment type,Toys,Novel object side (L/R),Notes,Bucket type (old/new),Napari Labled,Used in Training model,Used in Validating model,,
981,KO,F,05/30/2023,7/13/23,1431,CONTROL,diamonds + pyramid,,,OLD,,,,,
974,HET,M,05/28/2023,7/13/23,1443,CONTROL,silos + diamond,,,OLD,,,,,
56,KO,M,05/28/2023,7/13/23,1456,CONTROL,pyramids + silo,,,OLD,,,,,
990,WT,F,5/28/23,7/18/23,1410,CONTROL,silos + diamond,,,OLD,C:\Users\llplatil\Desktop\training for NOR with 10x first min spilced -luk-2024-06-17\labeled-data,C:\Users\llplatil\Desktop\training for NOR with 10x first min spilced -luk-2024-06-17\labeled-data,videos,,
977,HET,F,05/28/2023,7/18/23,1424,CONTROL,diamonds + pyramid,,,OLD,C:\Users\llplatil\Desktop\training for NOR with 10x first min spilced -luk-2024-06-17\labeled-data,C:\Users\llplatil\Desktop\training for NOR with 10x first min spilced -luk-2024-06-17\labeled-data,videos,,
976,WT,F,05/28/2023,7/18/23,1437,CONTROL,pyramids + silo,,,OLD,C:\Users\llplatil\Desktop\training for NOR with 10x first min spilced -luk-2024-06-17\labeled-data,C:\Users\llplatil\Desktop\training for NOR with 10x first min spilced -luk-2024-06-17\labeled-data,videos,,
995,HET,M,05/30/2023,7/18/23,1448,CONTROL,silos + pyramid,,,OLD,C:\Users\llplatil\Desktop\training for NOR with 10x first min spilced -luk-2024-06-17\labeled-data,C:\Users\llplatil\Desktop\training for NOR with 10x first min spilced -luk-2024-06-17\labeled-data,videos,,
985,HET,M,05/30/2023,7/18/23,1459,CONTROL,diamonds + pyramid,,,OLD,C:\Users\llplatil\Desktop\training for NOR with 10x first min spilced -luk-2024-06-17\labeled-data,C:\Users\llplatil\Desktop\training for NOR with 10x first min spilced -luk-2024-06-17\labeled-data,videos,,
692,WT,M,06/08/2023,07/25/2023,1412,CONTROL,pyramid + diamond,,,OLD,,,5 unprocessed animals at T1 fam+nor ,,
689,KO,M,06/09/2023,07/25/2023,1425,CONTROL,silo + pyramid,,,OLD,,,5 unprocessed animals at T1 fam+nor ,added to NOR2 for moel training,
691,WT,F,06/08/2023,07/25/2023,1437,CONTROL,diamond + silo,,recording cut 15 seconds short,OLD,,,5 unprocessed animals at T1 fam+nor ,,
690,WT,F,06/08/2023,07/25/2023,1449,CONTROL,pyramid + silo,,,OLD,,,5 unprocessed animals at T1 fam+nor ,,
698,WT,F,06/08/2023,07/25/2023,1500,CONTROL,diamond + pyramid,,,OLD,,,5 unprocessed animals at T1 fam+nor ,,
974,KO,F,05/30/2023,08/10/2023,1424,CONTROL,dimond + pyramid,,,OLD,,,videos,,
981,HET,M,05/28/2023,08/10/2023,1411,CONTROL,pyramid + silo,,,OLD,,,videos,,
973,KO,M,05/28/2023,08/10/2023,1437,CONTROL,silo + diamond,,,OLD,,,videos,,
985,HET,M,05/30/2023,,1412,CONTROL,silo + pyramid,,,OLD,,,,,
995,HET,M,05/30/2023,,1424,CONTROL,pyramid + diamond,,,OLD,,,,,
990,WT,F,5/28/23,,1437,CONTROL,diamond + silo,,,OLD,,,,,
977,HET,F,05/28/2023,,1448,CONTROL,silo + diamond,,,OLD,,,,,
976,WT,F,05/28/2023,,1500,CONTROL,pyramid + silo,,,OLD,,,,,
692,WT,M,06/08/2023,08/22/2023,1400,CONTROL,diamond + silo,,,OLD,,,,,
689,KO,M,06/09/2023,08/22/2023,1411,CONTROL,silo + pyramid,,,OLD,,,,,
690,WT,F,06/08/2023,08/22/2023,1423,CONTROL,diamond + pyramid,,,OLD,,,,,
698,WT,F,06/08/2023,08/22/2023,1435,CONTROL,pryamid + silo,,,OLD,,,,,
691,WT,F,06/08/2023,08/22/2023,1446,CONTROL,silo + diamond,,,OLD,,,,,
981,KO,F,05/30/2023,09/06/2023,1425,CONTROL,pyramid + silo,,,OLD,,,,,
973,KO,M,05/28/2023,09/06/2023,1436,CONTROL,diamond + pyramid,,,OLD,,,,,
974,HET,M,05/02/2023,09/06/2023,1446,CONTROL,silo + diamond,,,OLD,,,,,
995,HET,M,05/30/2023,,1429,CONTROL,pyramid + diamond,,,OLD,,,,,
985,HET,M,05/30/2023,,1441,CONTROL,silo + diamond,,,OLD,,,,,
977,HET,F,05/28/2023,,1455,CONTROL,diamond + pyramid,,,OLD,,,,,
976,WT,F,05/28/2023,,1508,CONTROL,silo + pyramid,,,OLD,,,,,
990,WT,F,5/28/23,,1522,CONTROL,pyramid + silo,,,OLD,,,,,
690,WT,F,,09/21/2023,1411,CONTROL,pyramid + silo,,,OLD,,,,,
691,WT,F,,09/21/2023,1422,CONTROL,diamond + pyramid,,,OLD,,,,,
698,WT,F,,09/21/2023,1433,CONTROL,silo + diamond,,,OLD,,,,,
692,WT,M,,09/21/2023,1444,CONTROL,diamond + silo,,,OLD,,,,,
689,KO,M,,09/21/2023,1455,CONTROL,pyramid + diamond,,,OLD,,,,,
56,KO,,5/28/2023,10/05/2023,1410,CONTROL,silos + pyramid,,,OLD,,,,,
974,HET,M,05/28/2023,10/05/2023,1421,CONTROL,pyramid + diamond,,,OLD,,,,,
981,KO,F,5/30/2023,10/05/2023,1432,CONTROL,diamond + pyramid,,,OLD,,,,,
995,HET,M,05/30/2023,10/12/2023,1414,CONTROL,diamond+pyramid,,,OLD,,,,,
990,WT,F,05/08/2023,10/12/2023,1427,CONTROL,pryamid + silo,,,OLD,,,,,
977,HET,F,05/28/2023,10/12/2023,1441,CONTROL,silo+diamond,,,OLD,,,,,
976,WT,F,05/28/2023,10/12/2023,1455,CONTROL,diamond+pyramid,,,OLD,,,,,
690,WT,F,,,1414,CONTROL,silo + diamond,,,OLD,,,,,
691,WT,F,,,1425,CONTROL,pyramid + silo,,,OLD,,,,,
698,WT,F,,,1436,CONTROL,diamond + pyramid,,,OLD,,,,,
692,WT,M,,,1447,CONTROL,pyramid + silo,,,OLD,,,,,
689,KO,M,,,1459,CONTROL,silo + diamond,,,OLD,,,,,
159,WT,F,10/16/2023,11/21/2023,1351,CONTROL,silo+pyramid,,mice fell out of hands into tub in the begining ,OLD,,,,,
161,WT,M,10/16/2023,11/21/2023,1404,CONTROL,silo+pyramid,,,OLD,,,,,
159,WT,F,10/16/2023,12/19/2023,1448,CONTROL,pyramid + diamond,,,OLD,,,,,
161,WT,M,10/16/2023,12/19/2023,1500,CONTROL,silos + diamond,,accdenly went 26 seconds over 10 minutes,OLD,,,,,
159,WT,F,10/16/2023,1/18/2024,1441,CONTROL,silos + pyramid,,,OLD,,,,,
161,WT,M,10/16/2023,1/18/2024,1454,CONTROL,silos + pyramid,,,OLD,,,,,
159,WT,F,10/16/2023,2/15/2024,1400,CONTROL,silos + pyramid,,,OLD,,,,,
161,WT,M,10/16/2023,2/15/2024,1414,CONTROL,diamond + pyramid,,,OLD,,,,,
214,KO,M,01/03/2024,02/22/2024,1408,CONTROL,diamond + silo,,,OLD,,,,,
215,WT,M,01/03/2024,02/22/2024,1422,CONTROL,diamond + silo,,,OLD,,,,,
217,KO,M,01/03/2024,02/22/2024,1435,CONTROL,Pyramind + diamond,,,OLD,,,,,
218,WT,M,01/03/2024,02/22/2024,1346,CONTROL,silo + pyramid,,,OLD,,,,,
214,KO,M,01/03/2024,03/21/2024,1450,CONTROL,diamond + pyramid,,1 hr 10 min rest ,OLD,,,,,
215,WT,M,01/03/2024,03/21/2024,1502,CONTROL,pyramid + silo,,1 hr 11 min rest,OLD,,,,,
217,KO,M,01/03/2024,03/21/2024,1513,CONTROL,silo + diamond,,1 hr 8 min rest,OLD,,,,,
218,WT,M,01/03/2024,03/21/2024,1524,CONTROL,diamond + pyramid,,1 hr 4 min rest,OLD,,,,,
166,WT,F,10/31/2024,04/04/2024,1435,CONTROL,diamond + pyramid,,rest went 4 min over,OLD,,,,,
165,HET,F,10/31/2024,04/04/2024,1448,CONTROL,pyramid + silo,,rest went 4 min over,OLD,,,,,
179,WT,M,11/07/2024,04/11/2024,1410,CONTROL,silo + pyramid,,rest was 10 minutes short,OLD,,,,,
181,WT,M,11/07/2024,04/11/2024,1422,CONTROL,silo + pyramid,,rest was 10 minutes short,OLD,,,,,
189,HET,M,11/07/2024,04/11/2024,1447,CONTROL,silo + pyramid,,rest was 10 minutes short,OLD,,,,,
187,WT,M,11/07/2024,04/11/2024,1434,CONTROL,silo + pyramid,,rest was 10 minutes short,OLD,,,,,
218,WT,M,01/03/2024,04/18/2024,1413,CONTROL,silo + diamond,,,OLD,,,,,
215,WT,M,01/03/2024,04/18/2024,1424,CONTROL,diamond + pyramid,,,OLD,,,,,
214,KO,M,01/03/2024,04/18/2024,1435,CONTROL,silo + diamond,,,OLD,,,,,
217,KO,M,01/03/2024,04/18/2024,1446,CONTROL,pyramid + silo,,,OLD,,,,,
165,HET,F,10/30/2023,04/30/2024,1417,CONTROL,pyramid + diamond,,,OLD,,,,,
166,WT,F,10/30/2023,04/30/2024,1429,CONTROL,silo + diamond,,,OLD,,,,,
187,WT,M,11/9/2023,05/09/2024,1429,CONTROL,silo + pyramid,,,OLD,,,,,
189,HET,M,11/9/2023,05/09/2024,1415,CONTROL,Pyramid + Silo,,,OLD,,,,,
179,WT,M,11/7/2023,05/09/2024,1441,CONTROL,Pyramid + Silo,,,OLD,,,,,
181,WT,M,11/7/2023,05/02/2024,1453,CONTROL,silo + pyramid,,,OLD,,,,,
215,WT,M,01/03/2024,05/16/2024,1414,CONTROL,Pyramind + diamond,,stored in Local Disk (D:),OLD,,,,,
218,WT,M,01/03/2024,05/16/2024,1426,CONTROL,Pyramind + diamond,,stored in Local Disk (D:),OLD,,,,,
217,KO,M,01/03/2024,05/16/2024,1402,CONTROL,Pyramind + diamond,,stored in Local Disk (D:),OLD,,,,,
165,HET,F,10/30/2024,05/30/2024,1418,CONTROL,Silo + pyramid,,Expansion (H:),OLD,,,,,
166,WT,F,10/30/2024,05/30/2024,1430,CONTROL,Diamond + pyramid,,"barbering noted, Expansion (H:)",OLD,,,,,
187,WT,M,11/9/2023,06/06/2024,1405,CONTROL,diamond + pyramid,,,OLD,,,,,
189,HET,M,11/9/2023,06/06/2024,1415,CONTROL,diamond + pyramid,,,OLD,,,,,
179,WT,M,11/7/2023,06/06/2024,1427,CONTROL,diamond + pyramid,,,OLD,,,,,
181,WT,M,11/7/2023,06/06/2024,1440,CONTROL,diamond + pyramid,,,OLD,,,,,
297,KO,M,04/23/2024,06/06/2024,1452,CONTROL,diamond + pyramid,,,OLD,,,,,
166,WT,F,10/31/2024,06/27/2024,1419,CONTROL,pyramid + diamond,,,OLD,,,,,
165,HET,F,10/31/2024,06/27/2024,1432,CONTROL,silo + pyramid,,,OLD,,,,,
179,WT,m,11/07/2023,07/02/2024,1435,CONTROL,pyramid + diamond,,,OLD,,,,,
181,WT,m,11/07/2023,07/02/2024,1446,CONTROL,diamond + silo,,,OLD,,,,,
189,HET,m,11/09/2023,07/02/2024,1459,CONTROL,silo + pyramid,,,OLD,,,,,
187,WT,m,11/9/2023,07/02/2024,1511,CONTROL,pyramids + silo,,,OLD,,,,,
297,KO,M,4/23/2024,07/11/2024,1425,CONTROL,silo + diamond,,stored in H drive,OLD,,,,,
331,KO,F,06/12/2024,07/23/2024,1431,CONTROL,silo + diamond,,,OLD,,,,,
333,KO,F,06/12/2024,07/23/2024,1443,CONTROL,pyramid + silo,,,OLD,,,,,
355,KO,M,06/13/2024,07/25/2024,1411,CONTROL,diamond + pyramid,,,OLD,,,,,
369,KO,M,06/12/2024,07/25/2024,1422,CONTROL,silo + diamond,,,OLD,,,,,
337,HET,M,06/12/2024,07/25/2024,1434,CONTROL,pyramid + silo,,,OLD,,,,,
358,KO,M,06/13/2024,07/25/2024,1445,CONTROL,diamond + silo,,,OLD,,,,,
357,KO,M,06/13/2024,07/25/2024,1456,CONTROL,pyramid + diamond,,,OLD,,,,,
297,KO,M,,,1439,CONTROL,pyramid + silo,,,OLD,,,,,
331,KO,F,06/12/2024,08/20/2024,1434,CONTROL,silo + pyramid,,,OLD,,,,,
333,KO,F,06/12/2024,08/20/2024,1446,CONTROL,pyramid + silo,,,OLD,,,,,
357,KO,F,06/13/2024,08/22/2024,1411,CONTROL,pyramid + Silo,,VIDEO TERMINATED EARLY FOR STORAGE,OLD,,,,,
358,KO,F,06/13/2024,08/22/2024,1423,CONTROL,diamond + pyramid,,FALSE START,OLD,,,,,
337,HET,M,06/12/2024,08/22/2024,1434,CONTROL,silo + pyramid,,,OLD,,,,,
355,KO,M,06/13/2024,08/22/2024,1445,CONTROL,diamond + silo,,,OLD,,,,,
369,KO,M,06/12/2024,08/22/2024,1456,CONTROL,pyramid + Silo,,,OLD,,,,,
297,KO,M,4/23/2024,08/29/2024,1510,CONTROL,silo+pyramid,,,OLD,,,,,
333,KO,F,06/12/2024,09/17/2024,1432,CONTROL,diamonds + pyramid,RIGHT,,OLD,,,,,
331,KO,F,06/12/2024,09/17/2024,1443,CONTROL,silos + pyramid,RIGHT,,OLD,,,,,
355,KO,M,06/13/2024,09/19/2024,1501,CONTROL,pyramids + Silo,RIGHT,,OLD,,,,,
369,KO,M,06/12/2024,09/19/2024,1449,CONTROL,silos + pyramid,LEFT,,OLD,,,,,
337,HET,M,06/12/2024,09/19/2024,1434,CONTROL,pyramids + Silo,RIGHT,,OLD,,,,,
358,KO,M,06/13/2024,09/19/2024,1412,CONTROL,pyramids + Silo,LEFT,,OLD,,,,,
357,KO,M,06/13/2024,09/19/2024,1423,CONTROL,silos + pyramid,RIGHT,,OLD,,,,,
331,KO,F,06/12/2024,10/15/2024,1451,CONTROL,diamond + silo,LEFT,,NEW,,,,,
333,KO,F,06/12/2024,10/15/2024,1503,CONTROL,pyramid + diamond,LEFT,,OLD,,,,,
358,KO,M,06/03/2024,10/17/2024,1420,CONTROL,Pyramid + silo,RIGHT,,OLD,,,,,
357,KO,M,06/03/2024,10/17/2024,1431,CONTROL,Pyramid + silo,LEFT,,OLD,,,,,
444,HET,M,11/04/2024,12/17/2024,1419,zinc,DIAMOND + SILO,LEFT,,OLD,,,,,
445,KO,F,11/04/2024,12/17/2024,1423,d-penicillamine,Silo + Pyramid ,LEFT,,NEW,,,,,
445,KO,M,11/04/2024,01/14/2025,1428,D-PEN,pyramid + silo,LEFT,,OLD,,,,,
444,HET,M,11/04/2024,01/14/2025,1439,ZN,diamond + silo,LEFT,,NEW,,,,,
,,,,,,,,,,,,,,,
Elevated Zero Maze ,,,,,,,,,,,,,,,
Tag Number,Genotype,Sex,Birthdate,Test Date,Time In,Treatment type,Notes,Addt. Notes,File Location on Drive,,,,,,
981,KO,F,05/30/2023,7/14/23,,CONTROL,,,,,,,,,
974,HET,M,05/28/2023,7/14/23,,CONTROL,,,,,,,,,
56,KO,M,05/28/2023,7/14/23,,CONTROL,,fell ,,,,,,,
990,WT,F,05/28/2023,07/19/2023,1309,CONTROL,,,,,,,,,
977,HET,F,05/28/2023,07/19/2023,1320,CONTROL,,fell (but was very brave),,,,,,,
976,WT,F,05/28/2023,07/19/2023,1329,CONTROL,,,,,,,,,
995,HET,M,05/30/2023,07/19/2023,1340,CONTROL,,,,,,,,,
985,HET,M,05/30/2023,07/19/2023,1351,CONTROL,,,,,,,,,
689,KO,M,06/09/2023,07/26/2023,1321,CONTROL,,,,,,,,,
692,WT,M,06/09/2023,07/26/2023,1331,CONTROL,,,,,,,,,
698,WT,F,06/08/2023,07/26/2023,1339,CONTROL,,,,,,,,,
690,WT,F,06/08/2023,07/26/2023,1350,CONTROL,,,,,,,,,
691,WT,F,06/08/2023,07/26/2023,1359,CONTROL,,,,,,,,,
981,KO,F,05/30/2023,08/11/2023,1338,CONTROL,,,,,,,,,
974,HET,M,05/28/2023,08/11/2023,1352,CONTROL,,"fell around 1 minute, put back on",,,,,,,
56,KO,M,05/28/2023,08/11/2023,1345,CONTROL,,,,,,,,,
985,HET,M,05/30/2023,8/17/23,1325,CONTROL,,,,,,,,,
995,HET,M,05/30/2023,8/17/23,1317,CONTROL,,,,,,,,,
990,WT,F,5/28/23,8/17/23,1334,CONTROL,,,,,,,,,
977,HET,F,05/28/2023,8/17/23,1353,CONTROL,,,,,,,,,
976,WT,F,05/28/2023,8/17/23,1344,CONTROL,,did not spray with ethonal before experiment,,,,,,,
689,KO,M,06/09/2023,08/23/2023,1312,CONTROL,,,,,,,,,
692,WT,M,06/09/2023,08/23/2023,1320,CONTROL,,,,,,,,,
690,WT,F,06/08/2023,08/23/2023,1328,CONTROL,,,,,,,,,
698,WT,F,06/08/2023,08/23/2023,1335,CONTROL,,,,,,,,,
691,WT,F,06/08/2023,08/23/2023,1344,CONTROL,,,,,,,,,
981,KO,F,05/30/2023,09/07/2023,1310,CONTROL,,,,,,,,,
56,KO,M,05/28/2023,09/07/2023,1317,CONTROL,,,,,,,,,
974,HET,M,05/28/2023,09/07/2023,1324,CONTROL,,,,,,,,,
985,HET,M,05/30/2023,09/14/2023,1321,CONTROL,,,,,,,,,
995,HET,M,05/30/2023,09/14/2023,1331,CONTROL,,,,,,,,,
977,HET,F,05/28/2023,09/14/2023,1340,CONTROL,,,,,,,,,
976,WT,F,05/28/2023,09/14/2023,1347,CONTROL,,,,,,,,,
990,WT,F,05/28/2023,09/14/2023,1353,CONTROL,,,,,,,,,
689,KO,M,06/09/2023,09/22/2023,1321,CONTROL,,AUDIO POLUTION FROM CAGE WASHER,,,,,,,
692,WT,M,06/09/2023,09/22/2023,1331,CONTROL,,,,,,,,,
690,WT,F,06/08/2023,09/22/2023,1339,CONTROL,,,,,,,,,
698,WT,F,06/08/2023,09/22/2023,1348,CONTROL,,,,,,,,,
691,WT,F,06/08/2023,09/22/2023,1355,CONTROL,,,,,,,,,
974,HET,M,05/28/2023,10/06/2023,1314,CONTROL,,,,,,,,,
56,KO,M,05/28/2023,10/06/2023,1322,CONTROL,,,,,,,,,
981,KO,F,05/30/2023,10/06/2023,1329,CONTROL,,,,,,,,,
990,WT,F,5/28/23,10/13/2023,1323,CONTROL,,,,,,,,,
977,HET,F,05/28/2023,10/13/2023,1330,CONTROL,,,,,,,,,
976,WT,F,05/28/2023,10/13/2023,1337,CONTROL,,,,,,,,,
995,HET,M,05/30/2023,10/13/1995,1345,CONTROL,,,,,,,,,
690,WT,F,06/08/2023,07/26/2023,1317,CONTROL,,,,,,,,,
691,WT,F,06/08/2023,07/26/2023,1323,CONTROL,,,,,,,,,
698,WT,F,06/08/2023,07/26/2023,1330,CONTROL,,,,,,,,,
692,WT,M,06/09/2023,07/26/2023,1343,CONTROL,,,,,,,,,
689,KO,M,06/09/2023,07/26/2023,1349,CONTROL,,,,,,,,,
159,WT,F,10/16/2023,11/22/2023,1314,CONTROL,,video in two bc disk filled up,,,,,,,
161,WT,M,10/16/2023,11/22/2023,,CONTROL,,,,,,,,,
159,WT,F,10/16/2023,12/20/2023,1342,CONTROL,,,,,,,,,
161,WT,M,10/16/2023,12/20/2023,1355,CONTROL,,,,,,,,,
161,WT,M,10/16/2023,01/19/2024,1418,CONTROL,,turned himself around as i set him down (UGH!),,,,,,,
159,WT,F,10/16/2023,01/19/2024,1428,CONTROL,,,,,,,,,
161,WT,M,10/16/2023,02/16/2024,1240,CONTROL,,,,,,,,,
159,WT,F,10/16/2023,02/16/2024,1251,CONTROL,,,,,,,,,
214,KO,M,01/03/2024,02/22/2024,1321,CONTROL,,,,,,,,,
215,WT,M,01/03/2024,02/22/2024,1330,CONTROL,,,,,,,,,
217,KO,M,01/03/2024,02/22/2024,1338,CONTROL,,,,,,,,,
218,WT,M,01/03/2024,02/22/2024,1346,CONTROL,,,,,,,,,
214,KO,M,01/03/2024,03/22/2024,1416,CONTROL,,,,,,,,,
215,WT,M,01/03/2024,03/22/2024,1404,CONTROL,,,,,,,,,
217,KO,M,01/03/2024,03/22/2024,1346,CONTROL,,,,,,,,,
218,WT,M,01/03/2024,03/22/2024,1333,CONTROL,,,,,,,,,
165,HET,F,10/31/2023,04/05/2024,1336,CONTROL,,,,,,,,,
166,WT,F,10/31/2023,04/05/2024,1326,CONTROL,,,,,,,,,
179,WT,M,11/07/2023,04/12/2024,1339,CONTROL,,,,,,,,,
181,WT,M,11/07/2023,04/12/2024,1348,CONTROL,,,,,,,,,
189,HET,M,11/07/2023,04/12/2024,1357,CONTROL,,,,,,,,,
187,WT,M,11/07/2023,04/12/2024,1407,CONTROL,,,,,,,,,
218,WT,M,01/03/2024,04/19/2024,1308,CONTROL,,,,,,,,,
215,WT,M,01/03/2024,04/19/2024,1326,CONTROL,,,,,,,,,
214,KO,M,01/03/2024,04/19/2024,1319,CONTROL,,,,,,,,,
217,KO,M,01/03/2024,04/19/20224,1334,CONTROL,,,,,,,,,
165,HET,F,10/30/2023,05/01/2024,1431,CONTROL,,,,,,,,,
166,WT,F,10/30/2023,05/01/2014,1438,CONTROL,,,,,,,,,
187,WT,M,11/9/2023,05/10/2024,1337,CONTROL,,,,,,,,,
189,HET,M,11/9/2023,05/10/2024,1330,CONTROL,,,,,,,,,
179,WT,M,11/7/2023,05/10/2024,1316,CONTROL,,,,,,,,,
181,WT,M,11/7/2023,05/10/2024,1323,CONTROL,,,,,,,,,
215,WT,M,01/03/2024,05/17/2024,1315,CONTROL,,,stored in Local Disk (D:),,,,,,
218,WT,M,01/03/2024,05/17/2024,1308,CONTROL,,,stored in Local Disk (D:),,,,,,
217,KO,M,01/03/2024,05/17/2024,1324,CONTROL,,,stored in Local Disk (D:),,,,,,
166,HET,F,10/30/2024,05/31/2024,1307,CONTROL,,,stored in Expansion (H:),,,,,,
165,WT,F,10/30/2024,05/31/2024,1315,CONTROL,,,stored in Expansion (H:),,,,,,
187,WT,M,11/9/2023,06/07/2024,1335,CONTROL,,,stored in Expansion (H:),,,,,,
189,HET,M,11/9/2023,06/07/2024,1342,CONTROL,,,stored in Expansion (H:),,,,,,
179,WT,M,11/7/2023,06/07/2024,1350,CONTROL,,,stored in Expansion (H:),,,,,,
181,WT,M,11/7/2023,06/07/2024,1358,CONTROL,,,stored in Expansion (H:),,,,,,
297,KO,M,04/23/2024,06/07/2024,1406,CONTROL,,,stored in Expansion (H:),,,,,,
165,HET,F,10/30/2024,06/28/2024,1310,CONTROL,,,stored in Expansion (H:),,,,,,
166,WT,F,10/30/2024,06/28/2024,1325,CONTROL,,,stored in Expansion (H:),,,,,,
179,WT,M,11/07/2023,07/03/2024,1326,CONTROL,,,,,,,,,
181,WT,M,11/07/2023,07/03/2024,1336,CONTROL,,,,,,,,,
189,HET,M,11/07/2023,07/03/2024,1346,CONTROL,,,,,,,,,
187,WT,M,11/07/2023,07/03/2024,1353,CONTROL,,,,,,,,,
297,KO,M,4/23/2024,07/12/2024,1312,CONTROL,,,stored in Expansion (H:),,,,,,
331,KO,F,06/12/2024,07/24/2024,1454,CONTROL,,,,,,,,,
333,KO,F,06/12/2024,07/24/2024,1503,CONTROL,,,,,,,,,
355,KO,M,06/13/2024,07/26/2024,1301,CONTROL,,,,,,,,,
369,KO,M,06/12/2024,07/26/2024,1310,CONTROL,,,,,,,,,
337,HET,M,06/12/2024,07/26/2024,1320,CONTROL,,DID NEARLY FULL CIRCLE,,,,,,,
358,KO,M,06/13/2024,07/26/2024,1331,CONTROL,,,,,,,,,
357,KO,M,06/13/2024,07/26/2024,1342,CONTROL,,,,,,,,,
297,KO,M,04/23/2024,08/02/2024,1302,CONTROL,,,,,,,,,
333,KO,F,06/12/2024,08/20/2024,1541,CONTROL,,,,,,,,,
331,KO,F,06/12/2024,08/20/2024,1547,CONTROL,,,,,,,,,
369,KO,M,06/12/2024,08/23/2024,,CONTROL,,,,,,,,,
337,HET,M,06/12/2024,08/23/2024,,CONTROL,did full circle,,,,,,,,
358,KO,M,06/13/2024,08/23/2024,,CONTROL,,recording did not start for ~2min,mouse remained on left side for entire time,,,,,,
357,KO,M,06/13/2024,08/23/2024,,CONTROL,,,,,,,,,
355,KO,M,06/13/2024,08/23/2024,,CONTROL,,,,,,,,,
297,KO,M,4/23/24,08/30/2024,,CONTROL,,,,,,,,,
331,KO,F,06/12/2024,09/18/2024,1505,CONTROL,,,,,,,,,
333,KO,F,06/12/2024,09/18/2024,1514,CONTROL,,,,,,,,,
333,KO,F,06/12/2024,10/16/2024,1313,CONTROL,,,,,,,,,
331,KO,F,06/12/2024,10/16/2024,1318,CONTROL,,,,,,,,,
444,HET,M,11/04/2024,12/18/24,1337,ZN,,,,,,,,,
445,KO,F,11/04/2024,12/18/2024,1347,D-PEN,,,,,,,,,
444,HET,M,11/04/2024,01/15/2025,1316,ZN,,,,,,,,,
445,KO,F,11/04/2024,01/15/2025,1308,D-PEN,,,,,,,,,
444,HET,,,03/19/2025,1322,ZN,Did not clean maze before 1st use - HW (03/19/2025),,,,,,,,
Rota Rod,,,,,,,,,,,,,,,
Tag Number,Genotype,Gender,Birthdate,Test Date,Attempt 1 Time (sec),Attempt 1 Speed (rpm),Attempt 2 Time,Attempt 2 Speed,Attempt 3 Time,Attempt 3 Speed,,Notes,,,
56,KO,M,05/28/2023,04/14/2023,23,17,22,16,23,16,,2 (b),,,
56,KO,M,05/28/2023,08/11/2023,20,15,27,19,36,25,,3 (c),,,
56,KO,M,05/28/2023,09/07/2023,28,19,28,20,28,20,,3 (c),,,
56,KO,M,05/28/2023,,28,20,32,22,36,25,,,,,
689,KO,M,06/09/2023,08/23/2023,15,11,15,11,31,21,,"third trial did not record, ran a fourth (recorded as third)",,,
689,KO,M,06/09/2023,09/22/2023,31,22,33,23,31,22,,"""""",,,
689,KO,M,06/09/2023,,27,19,28,20,24,17,,,,,
690,WT,F,06/08/2023,08/23/2023,19,14,32,22,31,22,,,,,
690,WT,F,06/08/2023,09/22/2023,32,23,28,20,31,22,,,,,
690,WT,F,06/08/2023,,32,22,41,28,35,24,,,,,
691,WT,F,06/08/2023,08/23/2023,4,4,2,3,1,3,,,,,
691,WT,F,06/08/2023,09/22/2023,5,5,8,7,7,7,,,,,
691,WT,F,06/08/2023,,5,5,13,10,8,7,,,,,
692,WT,M,06/09/2023,08/23/2023,19,14,20,15,17,13,,,,,
692,WT,M,06/09/2023,09/22/2023,26,18,32,22,29,22,,,,,
692,WT,M,06/09/2023,,32,22,26,19,26,19,,,,,
698,WT,F,06/08/2023,08/23/2023,3,4,3,4,3,4,,,,,
698,WT,F,06/08/2023,09/22/2023,2,3,5,5,2,3,,,,,
698,WT,F,06/08/2023,,4,5,4,5,2,3,,,,,
974,HET,M,05/28/2023,07/14/2023,18,13,17,13,17,13,,,,,
974,HET,M,05/28/2023,08/11/2023,19,14,20,15,22,16,,,,,
974,HET,M,05/28/2023,09/07/2023,25,18,28,20,24,17,,,,,
974,HET,M,05/28/2023,,31,22,36,25,27,19,,,,,
976,WT,F,05/28/2023,07/19/2023,23,17,15,11,21,15,,,,,
976,WT,F,05/28/2023,8/17/23,11,9,15,11,16,12,,,,,
976,WT,F,05/28/2023,,21,16,20,15,24,17,,,,,
976,WT,F,05/28/2023,,27,19,20,15,17,13,,,,,
977,HET,F,05/28/2023,07/19/2023,14,11,19,14,18,13,,,,,
977,HET,F,05/28/2023,8/17/23,19,14,16,12,25,18,,,,,
977,HET,F,05/28/2023,,29,21,38,26,34,24,,,,,
977,HET,F,05/28/2023,,27,19,25,18,1,22,,,,,
981,KO,F,05/30/2023,07/14/2023,8,7,15,12,9,8,,,,,
981,KO,F,05/30/2023,08/11/2023,18,13,34,23,14,11,,,,,
